horizon,split,MSE,MAE,QLIKE
1,train,0.22340080525040779,0.35018807728972723,0.14536771879741073
1,test,0.2718262745695188,0.3969009335698578,0.17008311282139518
5,train,0.13074206693976656,0.27075564212544945,0.0780116893253667
5,test,0.16308741458025058,0.3128446063072672,0.09307360481216254
22,train,0.12532022911188911,0.2558166881205193,0.08132334693162122
22,test,0.14327481864098443,0.3046164251131832,0.07872846082932002
