date,Y_h,fitted,residual,split
2012-02-13,-0.931748797572126,-0.887098882720046,-0.04464991485208003,train
2012-02-14,-0.9501783909714685,-0.9263348379090246,-0.0238435530624439,train
2012-02-15,-0.7566496466856171,-0.9276804899149527,0.1710308432293356,train
2012-02-16,-0.8411967050885967,-0.8651410246598314,0.023944319571234773,train
2012-02-17,-0.9278692357673043,-0.860704514949455,-0.0671647208178493,train
2012-02-20,-0.9570920352885195,-0.9498764246161945,-0.007215610672325012,train
2012-02-21,-0.9321234146405424,-0.9779464383010635,0.045823023660521156,train
2012-02-22,-1.2231823839829405,-0.7565584194291554,-0.4666239645537852,train
2012-02-23,-1.1525791071592772,-0.9416305703172623,-0.21094853684201498,train
2012-02-24,-1.1573904520571145,-0.9713150485204601,-0.18607540353665442,train
2012-02-27,-1.1435530547819528,-1.0435826355848978,-0.09997041919705496,train
2012-02-28,-1.125833453489968,-0.9910001063197648,-0.13483334717020334,train
2012-02-29,-1.1693668291406538,-1.0908743234798373,-0.07849250566081656,train
2012-03-01,-1.2800006638830883,-1.0221694777625085,-0.25783118612057976,train
2012-03-02,-1.2652171203193716,-1.0610908551511993,-0.20412626516817234,train
2012-03-05,-1.2327336557023223,-1.0920183511409358,-0.14071530456138648,train
2012-03-06,-1.3014696901875769,-1.0522824739999916,-0.24918721618758521,train
2012-03-07,-1.2574859751943899,-1.1421897968828028,-0.11529617831158712,train
2012-03-08,-1.2039653550302125,-1.1938954017648713,-0.010069953265341214,train
2012-03-09,-1.2533806639136926,-1.1472806713586283,-0.1060999925550643,train
2012-03-12,-1.2484524517814826,-1.1479054775281503,-0.10054697425333226,train
2012-03-13,-1.2816697910367914,-1.214123897538368,-0.06754589349842344,train
2012-03-14,-1.3201027303951616,-1.1738816800801484,-0.1462210503150132,train
2012-03-15,-1.3746261478257926,-1.1399883659425643,-0.23463778188322837,train
2012-03-16,-1.3562066512667044,-1.1914268000931516,-0.16477985117355276,train
2012-03-19,-1.3664118950424367,-1.1713553999091404,-0.19505649513329626,train
2012-03-20,-1.264057004973902,-1.261329524776389,-0.0027274801975130103,train
2012-03-21,-1.2797993434798598,-1.2579206198583381,-0.021878723621521656,train
2012-03-22,-1.2625012516567649,-1.2798352042889887,0.017333952632223815,train
2012-03-23,-1.2769287460998289,-1.2663018227630434,-0.010626923336785499,train
2012-03-26,-1.2568698926192428,-1.262428024847624,0.005558132228381307,train
2012-03-27,-1.3630157077681435,-1.2004727307773004,-0.16254297699084308,train
2012-03-28,-1.2397372708423555,-1.2705897095637988,0.030852438721443276,train
2012-03-29,-1.2090765596851343,-1.2377872693440815,0.028710709658947176,train
2012-03-30,-1.2628215165107775,-1.2472419887803408,-0.015579527730436693,train
2012-04-02,-1.35902589913101,-1.213148256133182,-0.14587764299782813,train
2012-04-03,-1.2562148658799097,-1.335462043919691,0.07924717803978121,train
2012-04-04,-1.336896360764046,-1.1895730836696392,-0.14732327709440685,train
2012-04-05,-1.3935473313068862,-1.2072524003124956,-0.18629493099439065,train
2012-04-06,-1.3882247459306172,-1.3104440729568907,-0.07778067297372648,train
2012-04-10,-1.2556798195212662,-1.3470137848239583,0.09133396530269211,train
2012-04-11,-1.3375476640401203,-1.2296036960783525,-0.10794396796176775,train
2012-04-12,-1.2984071599463687,-1.2866185784944146,-0.01178858145195405,train
2012-04-13,-1.2836966669891237,-1.328714814827304,0.04501814783818037,train
2012-04-16,-1.2602859843882894,-1.361689493018682,0.1014035086303926,train
2012-04-17,-1.4215137871476957,-1.214433105957993,-0.2070806811897028,train
2012-04-18,-1.479981921937052,-1.320985797709497,-0.15899612422755505,train
2012-04-19,-1.496616649405346,-1.2536108756143143,-0.2430057737910316,train
2012-04-20,-1.5483315616339208,-1.2750408989226996,-0.27329066271122127,train
2012-04-23,-1.5327657681880622,-1.2820347807110495,-0.2507309874770127,train
2012-04-24,-1.5940126470688893,-1.4013848722605768,-0.1926277748083125,train
2012-04-25,-1.5673313673934264,-1.4478502229587287,-0.1194811444346977,train
2012-04-26,-1.5929547664138461,-1.3586324027856596,-0.2343223636281866,train
2012-04-27,-1.6440334148486013,-1.444336315286807,-0.19969709956179438,train
2012-04-30,-1.7455913459340284,-1.4128280314148023,-0.33276331451922614,train
2012-05-01,-1.5302752294985331,-1.5904712985971288,0.06019606909859565,train
2012-05-02,-1.4881904910372163,-1.4993141107632522,0.011123619726035816,train
2012-05-03,-1.5040480472343067,-1.4496705481414909,-0.05437749909281586,train
2012-05-04,-1.4683647514872087,-1.5617673950437263,0.09340264355651762,train
2012-05-07,-1.4297706474682277,-1.62029341472436,0.19052276725613226,train
2012-05-08,-1.5314186615479948,-1.4255928637506765,-0.10582579779731827,train
2012-05-09,-1.4923115258797124,-1.4440158830439083,-0.04829564283580412,train
2012-05-10,-1.394497976205978,-1.4254589780683118,0.03096100186233386,train
2012-05-11,-1.277488803222815,-1.457487467537968,0.179998664315153,train
2012-05-14,-1.1470779645073124,-1.4395943704070921,0.2925164058997798,train
2012-05-15,-1.0995564863823677,-1.482730535422883,0.38317404904051533,train
2012-05-16,-1.072648729706038,-1.4161279737618822,0.34347924405584407,train
2012-05-17,-1.050185337069434,-1.339890649919693,0.2897053128502589,train
2012-05-18,-0.9900303549409681,-1.296718619328894,0.30668826438792585,train
2012-05-21,-1.0217591590076995,-1.220437173838071,0.1986780148303715,train
2012-05-22,-1.0504750105014082,-1.2408807140454696,0.1904057035440614,train
2012-05-23,-1.0576107731799178,-1.2006679925602526,0.14305721938033478,train
2012-05-24,-1.0959532271787347,-1.140495408483176,0.04454218130444132,train
2012-05-25,-1.1408212203053172,-1.0902090269270779,-0.0506121933782393,train
