,Coefficient,Std_Error,t_stat,p_value,CI_lower,CI_upper
const,2.8878008166907,0.08808121741770379,32.78565965994777,9.427505608033777e-236,2.7151648028375583,3.0604368305438414
RV_d,0.08521527890849344,0.019325465154829895,4.409481387680653,1.036184631059274e-05,0.04733806322054306,0.12309249459644381
RV_w,0.33179923829700625,0.08438043820311379,3.9321819768027972,8.417830273125515e-05,0.16641661841919556,0.49718185817481697
RV_m,0.3856279884277651,0.1463139365159039,2.635620349028395,0.008398363792350557,0.09885794242031354,0.6723980344352166
