,Coefficient,Std_Error,t_stat,p_value,CI_lower,CI_upper
const,-0.09734098871466834,0.039374640999210064,-2.472174634344506,0.013429389634598367,-0.17451386697731427,-0.02016811045202241
RV_d,0.13720967895262132,0.016142568849993776,8.49986642322261,1.898089842300441e-17,0.10557082538867535,0.16884853251656728
RV_w,0.42236212039259874,0.07430865347253335,5.683888762009611,1.3166593478533706e-08,0.2767198358467662,0.5680044049384313
RV_m,0.3326690669810409,0.08135431863057592,4.089138383564701,4.329784980906417e-05,0.17321753247831614,0.4921206014837656
