,Coefficient,Std_Error,t_stat,p_value,CI_lower,CI_upper
const,-0.11290850577164412,0.026117804381315328,-4.323047378837819,1.5388866921798755e-05,-0.16409846171428458,-0.06171854982900365
RV_d,0.22960371188106143,0.02242121145289018,10.240468601060565,1.3060226227040201e-24,0.18565894494363971,0.27354847881848315
RV_w,0.453895892434509,0.04412843839674452,10.285790953073795,8.166875085303968e-25,0.3674057424828953,0.5403860423861228
RV_m,0.2472562026463714,0.040210158282904404,6.149097969392821,7.792483770754323e-10,0.16844574059922385,0.32606666469351897
