horizon,split,MSE,MAE,QLIKE
1,train,0.20712156499750456,0.3376279059510452,0.13184066523093138
1,test,0.29851150329989995,0.41272944298624736,0.18965450865063932
5,train,0.12271023543492666,0.26407822786096213,0.07235922970787749
5,test,0.1705238400267297,0.31690460327103337,0.09859521757642227
22,train,0.12260463511608737,0.25373001872436024,0.07853629406093672
22,test,0.16053455802686445,0.31693775766818993,0.09167722386653908
