,Coefficient,Std_Error,t_stat,p_value,CI_lower,CI_upper
const,2.9374047587340093,0.06427818998765351,45.69831165591662,0.0,2.8114218213667854,3.063387696101233
RV_d,0.0949076360047393,0.018534568066394315,5.120574467382367,3.0460630029066867e-07,0.05858055012560025,0.13123472188387836
RV_dQ,0.0010602333068790066,0.0035637587573620544,0.2975042305231139,0.7660815786439236,-0.005924605507139837,0.008045072120897851
RV_w,0.3391300262718773,0.07491812572354874,4.526675260447417,5.991890831039207e-06,0.19229319806447803,0.4859668544792766
RV_m,0.39017554930256787,0.12617038061259858,3.092449649498857,0.0019851190638592053,0.14288614738616398,0.6374649512189717
