,Coefficient,Std_Error,t_stat,p_value,CI_lower,CI_upper
const,-0.07728115142166735,0.01912191280686001,-4.041496904741802,5.311108226110171e-05,-0.11475941183862817,-0.03980289100470651
RV_d,0.2441724176566215,0.02092894124541856,11.666735301771272,1.8851964103331092e-31,0.20315244658104625,0.28519238873219677
RV_dQ,0.015159652360331531,0.0073496304244985615,2.0626414506231203,0.03914670646391767,0.0007546414286345223,0.029564663292028538
RV_w,0.4634016484498502,0.03906957789650431,11.860933068624536,1.8885867277980104e-32,0.3868266828815196,0.5399766140181809
RV_m,0.24526048408643666,0.03557627581503309,6.893933624800591,5.42703539137673e-12,0.17553226478490846,0.31498870338796486
