,Coefficient,Std_Error,t_stat,p_value,CI_lower,CI_upper
const,-0.07052475888033002,0.02890476519626971,-2.4399007707362923,0.014691296734669531,-0.12717705764660547,-0.01387246011405456
RV_d,0.15135747168411895,0.015413680785680225,9.819683811327831,9.263363491244067e-23,0.12114721247498866,0.18156773089324924
RV_dQ,0.007183122568757173,0.004784905515068453,1.5012046833811747,0.1333026289991619,-0.0021951199102040707,0.016561365047718418
RV_w,0.43375475420685666,0.066020738327791,6.569977331263356,5.03229225428232e-11,0.3043564848516431,0.5631530235620702
RV_m,0.321332423118365,0.07193103585406906,4.467229191169609,7.923922347679112e-06,0.18035018347373033,0.4623146627629997
