date,Y_h,fitted,residual,split
2010-02-03,0.8968282195406267,0.49441056930943733,0.4024176502311894,train
2010-02-04,1.0172141215965445,0.4150123028851218,0.6022018187114226,train
2010-02-05,1.072673943930095,0.47633647373040694,0.596337470199688,train
2010-02-08,1.0171699135801657,0.6829086477905856,0.33426126578958015,train
2010-02-09,0.9394941397656071,0.6004194120972977,0.3390747276683095,train
2010-02-10,0.7927186808350348,0.7950969524243736,-0.0023782715893387874,train
2010-02-11,0.7248076761161628,0.8299758591161646,-0.10516818300000175,train
2010-02-12,0.8155901116232412,0.8602598493243755,-0.04466973770113425,train
2010-02-15,0.8017177400611584,0.8897450478033692,-0.08802730774221079,train
2010-02-16,0.884034113541173,0.6202722977307491,0.2637618158104239,train
2010-02-17,0.9380958091106046,0.6774050767879154,0.26069073232268924,train
2010-02-18,0.9594662840669961,0.6638395325602737,0.29562675150672235,train
2010-02-19,0.8801549301260441,0.795320571639782,0.08483435848626208,train
2010-02-22,0.8219476139961763,0.7768375288504401,0.04511008514573622,train
2010-02-23,0.9817157864823675,0.7554460340486953,0.2262697524336722,train
2010-02-24,1.0553197252453805,0.8341784931641771,0.2211412320812034,train
2010-02-25,1.078210430373977,0.8263575323891839,0.25185289798479316,train
2010-02-26,1.0593234415036858,0.8233240347574424,0.23599940674624342,train
2010-03-01,1.0053574554816003,0.80114596022001,0.20421149526159033,train
2010-03-02,0.7992820824119229,0.942570473046568,-0.14328839063464516,train
2010-03-03,0.576671787833774,0.9736773740884128,-0.3970055862546388,train
2010-03-04,0.4330847554101013,0.9406861541620983,-0.5076013987519971,train
2010-03-05,0.3435358823687383,0.9188378479025178,-0.5753019655337794,train
2010-03-08,0.32065923322201884,0.8507235042637691,-0.5300642710417502,train
2010-03-09,0.3050977298172588,0.7105764647374408,-0.40547873492018205,train
2010-03-10,0.35365006536105376,0.6218114700671579,-0.2681614047061041,train
2010-03-11,0.32895506561127913,0.5541662829075649,-0.22521121729628574,train
2010-03-12,0.3654780945813414,0.5309758170240443,-0.1654977224427029,train
2010-03-15,0.3172393649476768,0.5127274469682568,-0.19548808202058,train
2010-03-16,0.3615233669787705,0.4550716987169496,-0.09354833173817906,train
2010-03-17,0.3684886538032563,0.519506350378516,-0.1510176965752597,train
2010-03-18,0.5647673114154205,0.4536195759442823,0.11114773547113815,train
2010-03-19,0.6435968440920041,0.5341951809735077,0.10940166311849642,train
2010-03-22,0.7246894101248822,0.43994180861532967,0.28474760150955253,train
2010-03-23,0.7502899000788786,0.4820465284452662,0.26824337163361245,train
2010-03-24,0.7278176352907274,0.5029971239005191,0.2248205113902083,train
2010-03-25,0.6197010612906777,0.6482685350828239,-0.028567473792146192,train
2010-03-26,0.5565570054977751,0.667927730445991,-0.11137072494821587,train
2010-03-29,0.42649492013748547,0.6761157874653693,-0.2496208673278838,train
2010-03-30,0.36982185209753676,0.6658243466003284,-0.29600249450279165,train
2010-03-31,0.3573561349671322,0.627555543031645,-0.27019940806451276,train
2010-04-01,0.2982550412180677,0.5837555557820019,-0.2855005145639342,train
2010-04-02,0.18551349118408303,0.5767441039562349,-0.3912306127721519,train
