,lasso_coef,selected,block,postlasso_coef,postlasso_se,postlasso_t,postlasso_p,postlasso_ci_lo,postlasso_ci_hi
ev_evt_EUR_ECB_Main_Refinancing_Operations_Rate,0.5756577488545936,True,news,0.6448345046673424,0.06024009526507163,10.70440712004036,9.704990278392178e-27,0.5267660875225402,0.7629029218121446
RV_w,0.4553051757260167,True,har,0.4602583610804542,0.04124126061322324,11.160142882074778,6.388881075877641e-29,0.3794269756015064,0.541089746559402
ev_evt_USD_Average_Hourly_Earnings_MoM,0.2928403665850208,True,news,0.44740253909447486,0.07482069039901766,5.979663335214946,2.2359925960696987e-09,0.3007566806139784,0.5940483975749713
RV_m,0.2497390637933891,True,har,0.2449632117436871,0.0364003576172478,6.729692447516359,1.7002207576826998e-11,0.1736198217895032,0.316306601697871
RV_d,0.20697962628372144,True,har,0.2104510881568023,0.021998523367856293,9.566600659401908,1.1047847475456518e-21,0.16733477464274119,0.2535674016708634
ev_evt_USD_Fed_Interest_Rate_Decision,0.20242988443508622,True,news,0.22137627923938938,0.07340525260802408,3.0158097870940406,0.002562939828276347,0.07750462785159731,0.3652479306271814
ev_evt_USD_FOMC_Economic_Projections,0.1908197953118522,True,news,0.29019474556283165,0.10236488348036667,2.8349052496942497,0.004583927875133636,0.08956326065967385,0.49082623046598944
ev_evt_EUR_Current_Account_Balance,0.1887275818757981,True,news,0.2776782964671952,0.049523671346272745,5.606981245910676,2.058859600474844e-08,0.1806136842463024,0.374742908688088
ev_evt_EUR_Public_Deficit_GDP,-0.129107239892484,True,news,-0.19931170358995964,0.06393792681192742,-3.1172687875262586,0.0018253506527321833,-0.3246277373874953,-0.07399566979242403
ev_evt_EUR_ILO_Unemployment,0.12210885162913357,True,news,0.19133231317905078,0.07441858174198071,2.5710287498144724,0.010139690899380448,0.04547457318421855,0.337190053173883
ev_evt_EUR_Sentix_Investor_Confidence,-0.10630868742842778,True,news,-0.14171439478882294,0.04501445449455927,-3.14819753743659,0.0016428063630336768,-0.22994110438187626,-0.053487685195769616
MON_x_RVd,0.09484775057783293,True,dow,0.12125773067895468,0.018091800862258,6.702358245160386,2.050824913680597e-11,0.0857984525734583,0.15671700878445105
ev_evt_USD_U6_Underemployment_Rate,-0.09237776005781483,True,news,-0.2867483628753321,0.08041018945410666,-3.56606998220034,0.0003623746418218147,-0.4443494381954236,-0.1291472875552406
ev_evt_EUR_ECB_Monetary_Policy_Meeting_Accounts,-0.08474153904788559,True,news,-0.10715142618057046,0.040303278345675084,-2.6586280466206493,0.00784595297911948,-0.18614440019698666,-0.028158452164154246
ev_evt_USD_30_Year_Bond_Auction,0.08316862583147697,True,news,0.15981459895811964,0.04315409217874338,3.703347490109879,0.00021277311605812793,0.07523413250226099,0.2443950654139783
ev_evt_USD_Consumer_Price_Index_Core_s_a,0.07359293715124846,True,news,0.08801077035368049,0.046928871814866505,1.8754077596597951,0.060736648434038754,-0.003968128238554705,0.17998966894591567
ev_evt_USD_Philadelphia_Fed_Manufacturing_Survey,0.06882341152441009,True,news,0.14120310785277027,0.04211376269713823,3.3528969821156704,0.0007997046610681987,0.05866164971291293,0.2237445659926276
ev_evt_USD_FOMC_Minutes,0.06761019499144054,True,news,0.11796131638524837,0.04354689490857419,2.7088341575881754,0.006752008082982239,0.03261097072589231,0.20331166204460444
ev_evt_USD_Chicago_Fed_National_Activity_Index,0.0627492274870376,True,news,0.07940256930542042,0.0435710582006982,1.8223695403419888,0.0683989330858122,-0.005995135536246615,0.16480027414708745
ev_evt_USD_6_Month_Bill_Auction,0.05726600018942938,True,news,0.1335856412168809,0.03165392016992336,4.220192649118074,2.440936361957765e-05,0.07154509771432513,0.19562618471943669
ev_evt_USD_Wholesale_Inventories,0.05366249972381014,True,news,0.09456566209667389,0.03202894887422017,2.9525059491661616,0.003152059963009916,0.03179007584052765,0.15734124835282012
ev_evt_EUR_Industrial_Output_Cal_Adjusted_YoY,0.05304705129253733,True,news,0.08685740840402971,0.041738816614035903,2.0809743890731522,0.037436250327140666,0.005050831083197288,0.16866398572486213
ev_evt_EUR_10_y_Obligaciones_Auction,0.05303792223159724,True,news,0.10159343613770312,0.0401144325597686,2.532590632718878,0.011322309532350588,0.02297059306029578,0.18021627921511046
ev_evt_USD_Capacity_Utilization,-0.051499612529478295,True,news,-0.09358380035727538,0.035117900210528415,-2.6648461267971477,0.007702355690415415,-0.16241361998258266,-0.024753980731968106
ev_evt_USD_Nondefense_Capital_Goods_Orders_ex_Aircraft,-0.04974265430800561,True,news,-0.10689806272860246,0.04207885387311401,-2.540422394843416,0.011071866194482501,-0.1893711008306297,-0.02442502462657524
