date,Y_h,pred_HAR,pred_HAR-DOW,pred_HAR-X,split
2012-02-13,-0.931748797572126,-0.887098882720046,-0.8989535086213407,-0.9766526825394755,train
2012-02-14,-0.9501783909714685,-0.9263348379090246,-0.9106480175324903,-1.0180867943901157,train
2012-02-15,-0.7566496466856171,-0.9276804899149527,-0.9201694197624631,-1.0243871526399104,train
2012-02-16,-0.8411967050885967,-0.8651410246598314,-0.8679351225774486,-0.9751518250010961,train
2012-02-17,-0.9278692357673043,-0.860704514949455,-0.865586915436261,-0.9568458362556376,train
2012-02-20,-0.9570920352885195,-0.9498764246161945,-0.9614784465287638,-1.145611077886929,train
2012-02-21,-0.9321234146405424,-0.9779464383010635,-0.9612725943600752,-1.1799126668583273,train
2012-02-22,-1.2231823839829405,-0.7565584194291554,-0.746760002469163,-0.9519658146914818,train
2012-02-23,-1.1525791071592772,-0.9416305703172623,-0.9552856198188432,-1.0598023685663884,train
2012-02-24,-1.1573904520571145,-0.9713150485204601,-0.986514924130414,-1.0455820361914205,train
2012-02-27,-1.1435530547819528,-1.0435826355848978,-1.0578251014123463,-1.0185609894204664,train
2012-02-28,-1.125833453489968,-0.9910001063197648,-0.9739222154182826,-0.9682866926800947,train
2012-02-29,-1.1693668291406538,-1.0908743234798373,-1.0811504652079162,-1.0886307955902157,train
2012-03-01,-1.2800006638830883,-1.0221694777625085,-1.0253482198123445,-1.095843605612889,train
2012-03-02,-1.2652171203193716,-1.0610908551511993,-1.0746524578162955,-1.0513142262560984,train
2012-03-05,-1.2327336557023223,-1.0920183511409358,-1.1032400832294667,-1.0331291750091225,train
2012-03-06,-1.3014696901875769,-1.0522824739999916,-1.0339633042428382,-0.9908843015500071,train
2012-03-07,-1.2574859751943899,-1.1421897968828028,-1.1352500381915096,-0.9923346804134167,train
2012-03-08,-1.2039653550302125,-1.1938954017648713,-1.2066911459979297,-1.0385870048359396,train
2012-03-09,-1.2533806639136926,-1.1472806713586283,-1.157810139605,-1.1394653308618499,train
2012-03-12,-1.2484524517814826,-1.1479054775281503,-1.1545589064546844,-1.209758543935105,train
2012-03-13,-1.2816697910367914,-1.214123897538368,-1.19247464532108,-1.2763879809291292,train
2012-03-14,-1.3201027303951616,-1.1738816800801484,-1.164380333238619,-1.3132944970813978,train
2012-03-15,-1.3746261478257926,-1.1399883659425643,-1.1482872899925058,-1.2859862899128407,train
2012-03-16,-1.3562066512667044,-1.1914268000931516,-1.2089285515892136,-1.311200180164233,train
2012-03-19,-1.3664118950424367,-1.1713553999091404,-1.1777061884860531,-1.3250173229903615,train
2012-03-20,-1.264057004973902,-1.261329524776389,-1.2398042343401585,-1.3981630944183665,train
2012-03-21,-1.2797993434798598,-1.2579206198583381,-1.2488656621591798,-1.4027814056565109,train
2012-03-22,-1.2625012516567649,-1.2798352042889887,-1.290945592216034,-1.4217561756292414,train
2012-03-23,-1.2769287460998289,-1.2663018227630434,-1.280095312114498,-1.3967719342939375,train
2012-03-26,-1.2568698926192428,-1.262428024847624,-1.267884038831275,-1.3697748811348718,train
2012-03-27,-1.3630157077681435,-1.2004727307773004,-1.1806944045721968,-1.3013521324528954,train
2012-03-28,-1.2397372708423555,-1.2705897095637988,-1.2630663081142082,-1.3494908085535031,train
2012-03-29,-1.2090765596851343,-1.2377872693440815,-1.2489575906146282,-1.1761210735429777,train
2012-03-30,-1.2628215165107775,-1.2472419887803408,-1.264373596674273,-1.2219760054452986,train
2012-04-02,-1.35902589913101,-1.213148256133182,-1.2186792385350649,-1.112499038917555,train
2012-04-03,-1.2562148658799097,-1.335462043919691,-1.3127833990741615,-1.2526056691672784,train
2012-04-04,-1.336896360764046,-1.1895730836696392,-1.1788197020890732,-1.0951426099520891,train
2012-04-05,-1.3935473313068862,-1.2072524003124956,-1.215818748659998,-1.2605461865197487,train
2012-04-06,-1.3882247459306172,-1.3104440729568907,-1.336498421519921,-1.3532409311178222,train
2012-04-10,-1.2556798195212662,-1.3470137848239583,-1.323924622079997,-1.4458020668569127,train
2012-04-11,-1.3375476640401203,-1.2296036960783525,-1.2192840480732479,-1.3143814350454317,train
2012-04-12,-1.2984071599463687,-1.2866185784944146,-1.295656510021237,-1.3840664393790094,train
2012-04-13,-1.2836966669891237,-1.328714814827304,-1.3463157764928082,-1.4259385397447257,train
2012-04-16,-1.2602859843882894,-1.361689493018682,-1.3757608580797276,-1.448298733587301,train
2012-04-17,-1.4215137871476957,-1.214433105957993,-1.194939617249477,-1.2921003972708278,train
2012-04-18,-1.479981921937052,-1.320985797709497,-1.3122981162679628,-1.4096557824909057,train
2012-04-19,-1.496616649405346,-1.2536108756143143,-1.2595784083108268,-1.2198958012102539,train
2012-04-20,-1.5483315616339208,-1.2750408989226996,-1.2923435082284114,-1.2355466214573458,train
2012-04-23,-1.5327657681880622,-1.2820347807110495,-1.2950866170577735,-1.284434293513337,train
2012-04-24,-1.5940126470688893,-1.4013848722605768,-1.3772348111741082,-1.4137903316383214,train
2012-04-25,-1.5673313673934264,-1.4478502229587287,-1.4390250253096692,-1.4645725339086215,train
2012-04-26,-1.5929547664138461,-1.3586324027856596,-1.3625189176138084,-1.497046393904598,train
2012-04-27,-1.6440334148486013,-1.444336315286807,-1.4636588558391344,-1.4440276085412884,train
2012-04-30,-1.7455913459340284,-1.4128280314148023,-1.41976582141396,-1.3257323946313944,train
2012-05-01,-1.5302752294985331,-1.5904712985971288,-1.5617612470351145,-1.4978984417127446,train
2012-05-02,-1.4881904910372163,-1.4993141107632522,-1.487750837825119,-1.4063571993062451,train
