horizon,calendar,dMSE_pct_vs_HAR_DOW,DM_p,news_regressors_selected
1,REAL,-15.65035313003632,1.7776073457653752e-07,67
1,SCRAMBLED seed 1000,0.8286131840917456,0.23030250863455426,36
1,SCRAMBLED seed 1001,-0.22550311832369418,0.7310685754275474,22
5,REAL,-10.020246610132308,0.0013952848286464814,24
5,SCRAMBLED seed 1000,1.0657517446724003,0.4530126522378837,2
5,SCRAMBLED seed 1001,0.6705582303395029,0.5603364029561773,10
22,REAL,6.498019303005102,0.4886703795838414,12
22,SCRAMBLED seed 1000,1.4011474384798135,0.7130033778308187,2
22,SCRAMBLED seed 1001,2.775374863765696,0.5943384017154028,10
