horizon,merged_column,representative
1,ev_evt_USD_Construction_Spending_MoM,ev_evt_USD_ISM_Manufacturing_PMI
1,ev_evt_USD_New_Home_Sales_MoM,ev_evt_USD_New_Home_Sales_Change_MoM
1,ev_evt_USD_Pending_Home_Sales_YoY,ev_evt_USD_Pending_Home_Sales_MoM
1,ev_evt_EUR_6_Month_Letras_Auction,ev_evt_EUR_12_Month_Letras_Auction
1,ev_evt_EUR_Industrial_Confidence,ev_evt_EUR_Economic_Sentiment_Indicator
1,ev_evt_EUR_Services_Sentiment,ev_evt_EUR_Economic_Sentiment_Indicator
1,ev_evt_EUR_Business_Climate,ev_evt_EUR_Economic_Sentiment_Indicator
1,ev_evt_EUR_Imports_MoM,ev_evt_EUR_Exports_MoM
1,ev_evt_EUR_M3_Money_Supply_YoY,ev_evt_EUR_M3_Money_Supply_3m
1,ev_evt_EUR_Private_Loans_YoY,ev_evt_EUR_M3_Money_Supply_3m
1,ev_evt_EUR_9_Month_Letras_Auction,ev_evt_EUR_3_Month_Letras_Auction
1,ev_evt_EUR_Industrial_Sales_s_a_MoM,ev_evt_EUR_Industrial_Sales_n_s_a_YoY
1,ev_evt_EUR_Gross_Domestic_Product_s_a_YoY,ev_evt_EUR_Gross_Domestic_Product_s_a_QoQ
1,ev_evt_EUR_ECB_Press_Conference,ev_evt_EUR_ECB_Main_Refinancing_Operations_Rate
1,ev_evt_USD_UoM_1_year_Consumer_Inflation_Expectations,ev_evt_USD_Michigan_Consumer_Expectations_Index
1,ev_evt_USD_UoM_5_year_Consumer_Inflation_Expectation,ev_evt_USD_Michigan_Consumer_Expectations_Index
1,ev_evt_USD_Housing_Starts_Change,ev_evt_USD_Building_Permits_Change
1,ev_evt_USD_Nonfarm_Productivity,ev_evt_USD_Unit_Labor_Costs
1,ev_evt_USD_ISM_Manufacturing_New_Orders_Index,ev_evt_USD_ISM_Manufacturing_Employment_Index
1,ev_evt_USD_ISM_Services_New_Orders_Index,ev_evt_USD_ISM_Services_Employment_Index
1,ev_evt_USD_ISM_Services_Prices_Paid,ev_evt_USD_ISM_Services_Employment_Index
