,lasso_coef,selected,block,postlasso_coef,postlasso_se,postlasso_t,postlasso_p,postlasso_ci_lo,postlasso_ci_hi
ev_evt_EUR_ECB_Main_Refinancing_Operations_Rate,0.63536866312469,True,news,0.7627921691326802,0.17679606115893592,4.31453146711762,1.599417520303251e-05,0.4162782566526251,1.1093060816127354
RV_w,0.4357736176743204,True,har,0.45341187196744887,0.06980077058936925,6.49580037783285,8.259311478493576e-11,0.3166048755191425,0.5902188684157552
RV_m,0.3116045766820316,True,har,0.30908204343484635,0.07457951297670425,4.144329067037373,3.408100580784962e-05,0.16290888401596842,0.4552552028537243
ev_evt_USD_Fed_Interest_Rate_Decision,0.25197618286953927,True,news,0.16138431770968986,0.22481472547267,0.7178547462599768,0.4728468532772686,-0.27924444741100285,0.6020130828303826
ev_evt_EUR_Retail_Sales_n_s_a_YoY,-0.23802488407255495,True,news,-0.43311590281380113,0.1351743978021622,-3.2041267418679276,0.0013547282511737861,-0.6980528541379293,-0.168178951489673
ev_evt_EUR_European_Commission_releases_Economic_Growth_Forecasts,0.22457279832672325,True,news,0.5545307672605589,0.24568897112385785,2.257043792905976,0.024005338468290362,0.07298923245909622,1.0360723020620217
ev_evt_USD_Initial_Jobless_Claims_4_week_average,-0.21403528823748033,True,news,-0.341724444727485,0.12758608669484486,-2.6783833063616678,0.007397850499529871,-0.591788579577786,-0.09166030987718404
ev_evt_USD_FOMC_Economic_Projections,0.20862086017403342,True,news,0.48584214801910397,0.2870828324230413,1.6923413494234087,0.09058090812098245,-0.07682986410980464,1.0485141601480126
ev_evt_USD_Michigan_Consumer_Sentiment_Index,-0.18708739798120086,True,news,-0.28272835514751327,0.10617266617205522,-2.662910948184588,0.007746791251526197,-0.4908229569873356,-0.07463375330769093
ev_evt_USD_6_Month_Bill_Auction,0.18021970779680838,True,news,0.4201929064661504,0.1332987527921163,3.1522643510510164,0.0016200952952753248,0.15893215180949444,0.6814536611228064
ev_evt_USD_Average_Hourly_Earnings_MoM,0.16076558349325298,True,news,0.0057171396195605795,0.3045107528403142,0.01877483657386199,0.9850207277897705,-0.5911129688526332,0.6025472480917543
ev_evt_EUR_ECB_Monetary_Policy_Meeting_Accounts,-0.15665903431268638,True,news,-0.26883733475511473,0.13447360231258804,-1.9991829632866833,0.04558856121269761,-0.5324007521591494,-0.005273917351080071
ev_evt_USD_Labor_Force_Participation_Rate,0.12783267768663134,True,news,0.35748352011923124,0.33187192271509514,1.0771731371385795,0.2814029238663268,-0.2929734958824155,1.007940536120878
RV_d,0.12438718540404613,True,har,0.13235496966904287,0.015158907052180589,8.731168362827567,2.5205514026812042e-18,0.10264405780177868,0.16206588153630705
ev_evt_EUR_ILO_Unemployment,0.12269259652670023,True,news,0.38753322064980034,0.21770206562390257,1.780108147064137,0.07505826353301366,-0.03915498733302408,0.8142214286326248
ev_evt_USD_Fed_s_Evans_speech,0.10802800081066224,True,news,0.2035033954419479,0.12240378627553007,1.6625580109414522,0.09640094206293887,-0.0364036172294292,0.443410408113325
ev_evt_USD_Fed_s_Beige_Book,0.09022119903558029,True,news,0.24753116605227687,0.13790364411376638,1.7949573968333359,0.0726604879813651,-0.02275500974753425,0.5178173418520879
ev_evt_USD_EIA_Crude_Oil_Stocks_Change,0.08268476692639111,True,news,0.33338577704523287,0.11866663003494898,2.8094315726927284,0.004962906799639766,0.1008034560099938,0.565968098080472
ev_evt_USD_Fed_s_Bostic_speech,-0.07924930760334999,True,news,-0.24863215065685396,0.09896319398745433,-2.512369908840789,0.011992331127196248,-0.44259644666731524,-0.05466785464639265
